Date,House Majority,Senate Majority,Presidency
01/01/1970,1,1,2
02/01/1970,1,1,2
03/01/1970,1,1,2
04/01/1970,1,1,2
05/01/1970,1,1,2
06/01/1970,1,1,2
07/01/1970,1,1,2
08/01/1970,1,1,2
09/01/1970,1,1,2
10/01/1970,1,1,2
11/01/1970,1,1,2
12/01/1970,1,1,2
01/01/1971,1,1,2
02/01/1971,1,1,2
03/01/1971,1,1,2
04/01/1971,1,1,2
05/01/1971,1,1,2
06/01/1971,1,1,2
07/01/1971,1,1,2
08/01/1971,1,1,2
09/01/1971,1,1,2
10/01/1971,1,1,2
11/01/1971,1,1,2
12/01/1971,1,1,2
01/01/1972,1,1,2
02/01/1972,1,1,2
03/01/1972,1,1,2
04/01/1972,1,1,2
05/01/1972,1,1,2
06/01/1972,1,1,2
07/01/1972,1,1,2
08/01/1972,1,1,2
09/01/1972,1,1,2
10/01/1972,1,1,2
11/01/1972,1,1,2
12/01/1972,1,1,2
01/01/1973,1,1,2
02/01/1973,1,1,2
03/01/1973,1,1,2
04/01/1973,1,1,2
05/01/1973,1,1,2
06/01/1973,1,1,2
07/01/1973,1,1,2
08/01/1973,1,1,2
09/01/1973,1,1,2
10/01/1973,1,1,2
11/01/1973,1,1,2
12/01/1973,1,1,2
01/01/1974,1,1,2
02/01/1974,1,1,2
03/01/1974,1,1,2
04/01/1974,1,1,2
05/01/1974,1,1,2
06/01/1974,1,1,2
07/01/1974,1,1,2
08/01/1974,1,1,2
09/01/1974,1,1,2
10/01/1974,1,1,2
11/01/1974,1,1,2
12/01/1974,1,1,2
01/01/1975,1,1,2
02/01/1975,1,1,2
03/01/1975,1,1,2
04/01/1975,1,1,2
05/01/1975,1,1,2
06/01/1975,1,1,2
07/01/1975,1,1,2
08/01/1975,1,1,2
09/01/1975,1,1,2
10/01/1975,1,1,2
11/01/1975,1,1,2
12/01/1975,1,1,2
01/01/1976,1,1,2
02/01/1976,1,1,2
03/01/1976,1,1,2
04/01/1976,1,1,2
05/01/1976,1,1,2
06/01/1976,1,1,2
07/01/1976,1,1,2
08/01/1976,1,1,2
09/01/1976,1,1,2
10/01/1976,1,1,2
11/01/1976,1,1,2
12/01/1976,1,1,2
01/01/1977,1,1,1
02/01/1977,1,1,1
03/01/1977,1,1,1
04/01/1977,1,1,1
05/01/1977,1,1,1
06/01/1977,1,1,1
07/01/1977,1,1,1
08/01/1977,1,1,1
09/01/1977,1,1,1
10/01/1977,1,1,1
11/01/1977,1,1,1
12/01/1977,1,1,1
01/01/1978,1,1,1
02/01/1978,1,1,1
03/01/1978,1,1,1
04/01/1978,1,1,1
05/01/1978,1,1,1
06/01/1978,1,1,1
07/01/1978,1,1,1
08/01/1978,1,1,1
09/01/1978,1,1,1
10/01/1978,1,1,1
11/01/1978,1,1,1
12/01/1978,1,1,1
01/01/1979,1,1,1
02/01/1979,1,1,1
03/01/1979,1,1,1
04/01/1979,1,1,1
05/01/1979,1,1,1
06/01/1979,1,1,1
07/01/1979,1,1,1
08/01/1979,1,1,1
09/01/1979,1,1,1
10/01/1979,1,1,1
11/01/1979,1,1,1
12/01/1979,1,1,1
01/01/1980,1,1,1
02/01/1980,1,1,1
03/01/1980,1,1,1
04/01/1980,1,1,1
05/01/1980,1,1,1
06/01/1980,1,1,1
07/01/1980,1,1,1
08/01/1980,1,1,1
09/01/1980,1,1,1
10/01/1980,1,1,1
11/01/1980,1,1,1
12/01/1980,1,1,1
01/01/1981,1,2,2
02/01/1981,1,2,2
03/01/1981,1,2,2
04/01/1981,1,2,2
05/01/1981,1,2,2
06/01/1981,1,2,2
07/01/1981,1,2,2
08/01/1981,1,2,2
09/01/1981,1,2,2
10/01/1981,1,2,2
11/01/1981,1,2,2
12/01/1981,1,2,2
01/01/1982,1,2,2
02/01/1982,1,2,2
03/01/1982,1,2,2
04/01/1982,1,2,2
05/01/1982,1,2,2
06/01/1982,1,2,2
07/01/1982,1,2,2
08/01/1982,1,2,2
09/01/1982,1,2,2
10/01/1982,1,2,2
11/01/1982,1,2,2
12/01/1982,1,2,2
01/01/1983,1,2,2
02/01/1983,1,2,2
03/01/1983,1,2,2
04/01/1983,1,2,2
05/01/1983,1,2,2
06/01/1983,1,2,2
07/01/1983,1,2,2
08/01/1983,1,2,2
09/01/1983,1,2,2
10/01/1983,1,2,2
11/01/1983,1,2,2
12/01/1983,1,2,2
01/01/1984,1,2,2
02/01/1984,1,2,2
03/01/1984,1,2,2
04/01/1984,1,2,2
05/01/1984,1,2,2
06/01/1984,1,2,2
07/01/1984,1,2,2
08/01/1984,1,2,2
09/01/1984,1,2,2
10/01/1984,1,2,2
11/01/1984,1,2,2
12/01/1984,1,2,2
01/01/1985,1,2,2
02/01/1985,1,2,2
03/01/1985,1,2,2
04/01/1985,1,2,2
05/01/1985,1,2,2
06/01/1985,1,2,2
07/01/1985,1,2,2
08/01/1985,1,2,2
09/01/1985,1,2,2
10/01/1985,1,2,2
11/01/1985,1,2,2
12/01/1985,1,2,2
01/01/1986,1,2,2
02/01/1986,1,2,2
03/01/1986,1,2,2
04/01/1986,1,2,2
05/01/1986,1,2,2
06/01/1986,1,2,2
07/01/1986,1,2,2
08/01/1986,1,2,2
09/01/1986,1,2,2
10/01/1986,1,2,2
11/01/1986,1,2,2
12/01/1986,1,2,2
01/01/1987,1,2,2
02/01/1987,1,2,2
03/01/1987,1,2,2
04/01/1987,1,2,2
05/01/1987,1,2,2
06/01/1987,1,2,2
07/01/1987,1,2,2
08/01/1987,1,2,2
09/01/1987,1,2,2
10/01/1987,1,2,2
11/01/1987,1,2,2
12/01/1987,1,2,2
01/01/1988,1,2,2
02/01/1988,1,2,2
03/01/1988,1,2,2
04/01/1988,1,2,2
05/01/1988,1,2,2
06/01/1988,1,2,2
07/01/1988,1,2,2
08/01/1988,1,2,2
09/01/1988,1,2,2
10/01/1988,1,2,2
11/01/1988,1,2,2
12/01/1988,1,2,2
01/01/1989,1,1,2
02/01/1989,1,1,2
03/01/1989,1,1,2
04/01/1989,1,1,2
05/01/1989,1,1,2
06/01/1989,1,1,2
07/01/1989,1,1,2
08/01/1989,1,1,2
09/01/1989,1,1,2
10/01/1989,1,1,2
11/01/1989,1,1,2
12/01/1989,1,1,2
01/01/1990,1,1,2
02/01/1990,1,1,2
03/01/1990,1,1,2
04/01/1990,1,1,2
05/01/1990,1,1,2
06/01/1990,1,1,2
07/01/1990,1,1,2
08/01/1990,1,1,2
09/01/1990,1,1,2
10/01/1990,1,1,2
11/01/1990,1,1,2
12/01/1990,1,1,2
01/01/1991,1,1,2
02/01/1991,1,1,2
03/01/1991,1,1,2
04/01/1991,1,1,2
05/01/1991,1,1,2
06/01/1991,1,1,2
07/01/1991,1,1,2
08/01/1991,1,1,2
09/01/1991,1,1,2
10/01/1991,1,1,2
11/01/1991,1,1,2
12/01/1991,1,1,2
01/01/1992,1,1,2
02/01/1992,1,1,2
03/01/1992,1,1,2
04/01/1992,1,1,2
05/01/1992,1,1,2
06/01/1992,1,1,2
07/01/1992,1,1,2
08/01/1992,1,1,2
09/01/1992,1,1,2
10/01/1992,1,1,2
11/01/1992,1,1,2
12/01/1992,1,1,2
01/01/1993,1,1,2
02/01/1993,1,1,2
03/01/1993,1,1,2
04/01/1993,1,1,2
05/01/1993,1,1,2
06/01/1993,1,1,2
07/01/1993,1,1,2
08/01/1993,1,1,2
09/01/1993,1,1,2
10/01/1993,1,1,2
11/01/1993,1,1,2
12/01/1993,1,1,2
01/01/1994,1,1,2
02/01/1994,1,1,2
03/01/1994,1,1,2
04/01/1994,1,1,2
05/01/1994,1,1,2
06/01/1994,1,1,2
07/01/1994,1,1,2
08/01/1994,1,1,2
09/01/1994,1,1,2
10/01/1994,1,1,2
11/01/1994,1,1,2
12/01/1994,1,1,2
01/01/1995,1,1,1
02/01/1995,1,1,1
03/01/1995,1,1,1
04/01/1995,1,1,1
05/01/1995,1,1,1
06/01/1995,1,1,1
07/01/1995,1,1,1
08/01/1995,1,1,1
09/01/1995,1,1,1
10/01/1995,1,1,1
11/01/1995,1,1,1
12/01/1995,1,1,1
01/01/1996,1,1,1
02/01/1996,1,1,1
03/01/1996,1,1,1
04/01/1996,1,1,1
05/01/1996,1,1,1
06/01/1996,1,1,1
07/01/1996,1,1,1
08/01/1996,1,1,1
09/01/1996,1,1,1
10/01/1996,1,1,1
11/01/1996,1,1,1
12/01/1996,1,1,1
01/01/1997,2,2,1
02/01/1997,2,2,1
03/01/1997,2,2,1
04/01/1997,2,2,1
05/01/1997,2,2,1
06/01/1997,2,2,1
07/01/1997,2,2,1
08/01/1997,2,2,1
09/01/1997,2,2,1
10/01/1997,2,2,1
11/01/1997,2,2,1
12/01/1997,2,2,1
01/01/1998,2,2,1
02/01/1998,2,2,1
03/01/1998,2,2,1
04/01/1998,2,2,1
05/01/1998,2,2,1
06/01/1998,2,2,1
07/01/1998,2,2,1
08/01/1998,2,2,1
09/01/1998,2,2,1
10/01/1998,2,2,1
11/01/1998,2,2,1
12/01/1998,2,2,1
01/01/1999,2,2,1
02/01/1999,2,2,1
03/01/1999,2,2,1
04/01/1999,2,2,1
05/01/1999,2,2,1
06/01/1999,2,2,1
07/01/1999,2,2,1
08/01/1999,2,2,1
09/01/1999,2,2,1
10/01/1999,2,2,1
11/01/1999,2,2,1
12/01/1999,2,2,1
01/01/2000,2,2,1
02/01/2000,2,2,1
03/01/2000,2,2,1
04/01/2000,2,2,1
05/01/2000,2,2,1
06/01/2000,2,2,1
07/01/2000,2,2,1
08/01/2000,2,2,1
09/01/2000,2,2,1
10/01/2000,2,2,1
11/01/2000,2,2,1
12/01/2000,2,2,1
01/01/2001,2,2,1
02/01/2001,2,2,1
03/01/2001,2,2,1
04/01/2001,2,2,1
05/01/2001,2,2,1
06/01/2001,2,2,1
07/01/2001,2,2,1
08/01/2001,2,2,1
09/01/2001,2,2,1
10/01/2001,2,2,1
11/01/2001,2,2,1
12/01/2001,2,2,1
01/01/2002,2,2,1
02/01/2002,2,2,1
03/01/2002,2,2,1
04/01/2002,2,2,1
05/01/2002,2,2,1
06/01/2002,2,2,1
07/01/2002,2,2,1
08/01/2002,2,2,1
09/01/2002,2,2,1
10/01/2002,2,2,1
11/01/2002,2,2,1
12/01/2002,2,2,1
01/01/2003,2,2,2
02/01/2003,2,2,2
03/01/2003,2,2,2
04/01/2003,2,2,2
05/01/2003,2,2,2
06/01/2003,2,2,2
07/01/2003,2,2,2
08/01/2003,2,2,2
09/01/2003,2,2,2
10/01/2003,2,2,2
11/01/2003,2,2,2
12/01/2003,2,2,2
01/01/2004,2,2,2
02/01/2004,2,2,2
03/01/2004,2,2,2
04/01/2004,2,2,2
05/01/2004,2,2,2
06/01/2004,2,2,2
07/01/2004,2,2,2
08/01/2004,2,2,2
09/01/2004,2,2,2
10/01/2004,2,2,2
11/01/2004,2,2,2
12/01/2004,2,2,2
01/01/2005,2,2,2
02/01/2005,2,2,2
03/01/2005,2,2,2
04/01/2005,2,2,2
05/01/2005,2,2,2
06/01/2005,2,2,2
07/01/2005,2,2,2
08/01/2005,2,2,2
09/01/2005,2,2,2
10/01/2005,2,2,2
11/01/2005,2,2,2
12/01/2005,2,2,2
01/01/2006,2,2,2
02/01/2006,2,2,2
03/01/2006,2,2,2
04/01/2006,2,2,2
05/01/2006,2,2,2
06/01/2006,2,2,2
07/01/2006,2,2,2
08/01/2006,2,2,2
09/01/2006,2,2,2
10/01/2006,2,2,2
11/01/2006,2,2,2
12/01/2006,2,2,2
01/01/2007,1,1,2
02/01/2007,1,1,2
03/01/2007,1,1,2
04/01/2007,1,1,2
05/01/2007,1,1,2
06/01/2007,1,1,2
07/01/2007,1,1,2
08/01/2007,1,1,2
09/01/2007,1,1,2
10/01/2007,1,1,2
11/01/2007,1,1,2
12/01/2007,1,1,2
01/01/2008,1,1,2
02/01/2008,1,1,2
03/01/2008,1,1,2
04/01/2008,1,1,2
05/01/2008,1,1,2
06/01/2008,1,1,2
07/01/2008,1,1,2
08/01/2008,1,1,2
09/01/2008,1,1,2
10/01/2008,1,1,2
11/01/2008,1,1,2
12/01/2008,1,1,2
01/01/2009,1,1,1
02/01/2009,1,1,1
03/01/2009,1,1,1
04/01/2009,1,1,1
05/01/2009,1,1,1
06/01/2009,1,1,1
07/01/2009,1,1,1
08/01/2009,1,1,1
09/01/2009,1,1,1
10/01/2009,1,1,1
11/01/2009,1,1,1
12/01/2009,1,1,1
01/01/2010,1,1,1
02/01/2010,1,1,1
03/01/2010,1,1,1
04/01/2010,1,1,1
05/01/2010,1,1,1
06/01/2010,1,1,1
07/01/2010,1,1,1
08/01/2010,1,1,1
09/01/2010,1,1,1
10/01/2010,1,1,1
11/01/2010,1,1,1
12/01/2010,1,1,1
01/01/2011,2,1,1
02/01/2011,2,1,1
03/01/2011,2,1,1
04/01/2011,2,1,1
05/01/2011,2,1,1
06/01/2011,2,1,1
07/01/2011,2,1,1
08/01/2011,2,1,1
09/01/2011,2,1,1
10/01/2011,2,1,1
11/01/2011,2,1,1
12/01/2011,2,1,1
01/01/2012,2,1,1
02/01/2012,2,1,1
03/01/2012,2,1,1
04/01/2012,2,1,1
05/01/2012,2,1,1
06/01/2012,2,1,1
07/01/2012,2,1,1
08/01/2012,2,1,1
09/01/2012,2,1,1
10/01/2012,2,1,1
11/01/2012,2,1,1
12/01/2012,2,1,1
01/01/2013,2,1,1
02/01/2013,2,1,1
03/01/2013,2,1,1
04/01/2013,2,1,1
05/01/2013,2,1,1
06/01/2013,2,1,1
07/01/2013,2,1,1
08/01/2013,2,1,1
09/01/2013,2,1,1
10/01/2013,2,1,1
11/01/2013,2,1,1
12/01/2013,2,1,1
01/01/2014,2,1,1
02/01/2014,2,1,1
03/01/2014,2,1,1
04/01/2014,2,1,1
05/01/2014,2,1,1
06/01/2014,2,1,1
07/01/2014,2,1,1
08/01/2014,2,1,1
09/01/2014,2,1,1
10/01/2014,2,1,1
11/01/2014,2,1,1
12/01/2014,2,1,1
01/01/2015,2,2,1
02/01/2015,2,2,1
03/01/2015,2,2,1
04/01/2015,2,2,1
05/01/2015,2,2,1
06/01/2015,2,2,1
07/01/2015,2,2,1
08/01/2015,2,2,1
09/01/2015,2,2,1
10/01/2015,2,2,1
11/01/2015,2,2,1
12/01/2015,2,2,1
01/01/2016,2,2,1
02/01/2016,2,2,1
03/01/2016,2,2,1
04/01/2016,2,2,1
05/01/2016,2,2,1
06/01/2016,2,2,1
07/01/2016,2,2,1
08/01/2016,2,2,1
09/01/2016,2,2,1
10/01/2016,2,2,1
11/01/2016,2,2,1
12/01/2016,2,2,1
01/01/2017,2,2,2
02/01/2017,2,2,2
03/01/2017,2,2,2
04/01/2017,2,2,2
05/01/2017,2,2,2
06/01/2017,2,2,2
07/01/2017,2,2,2
08/01/2017,2,2,2
09/01/2017,2,2,2
10/01/2017,2,2,2
11/01/2017,2,2,2
12/01/2017,2,2,2
01/01/2018,2,2,2
02/01/2018,2,2,2
03/01/2018,2,2,2
04/01/2018,2,2,2
05/01/2018,2,2,2
06/01/2018,2,2,2
07/01/2018,2,2,2
08/01/2018,2,2,2
09/01/2018,2,2,2
10/01/2018,2,2,2
11/01/2018,2,2,2
12/01/2018,2,2,2
01/01/2019,1,2,2
02/01/2019,1,2,2
03/01/2019,1,2,2
04/01/2019,1,2,2
05/01/2019,1,2,2
06/01/2019,1,2,2
07/01/2019,1,2,2
08/01/2019,1,2,2
09/01/2019,1,2,2
10/01/2019,1,2,2
11/01/2019,1,2,2
12/01/2019,1,2,2
01/01/2020,1,2,2
02/01/2020,1,2,2
03/01/2020,1,2,2
04/01/2020,1,2,2
05/01/2020,1,2,2
06/01/2020,1,2,2
07/01/2020,1,2,2
08/01/2020,1,2,2
09/01/2020,1,2,2
10/01/2020,1,2,2
11/01/2020,1,2,2
12/01/2020,1,2,2
01/01/2021,1,1,1
02/01/2021,1,1,1
03/01/2021,1,1,1
04/01/2021,1,1,1
05/01/2021,1,1,1
06/01/2021,1,1,1
07/01/2021,1,1,1
08/01/2021,1,1,1
09/01/2021,1,1,1
10/01/2021,1,1,1
11/01/2021,1,1,1
12/01/2021,1,1,1
01/01/2022,1,1,1
02/01/2022,1,1,1
03/01/2022,1,1,1
04/01/2022,1,1,1
05/01/2022,1,1,1
06/01/2022,1,1,1
07/01/2022,1,1,1
08/01/2022,1,1,1
09/01/2022,1,1,1
10/01/2022,1,1,1
11/01/2022,1,1,1
12/01/2022,1,1,1
01/01/2023,2,1,1
02/01/2023,2,1,1
03/01/2023,2,1,1
04/01/2023,2,1,1
05/01/2023,2,1,1
06/01/2023,2,1,1
07/01/2023,2,1,1
08/01/2023,2,1,1
09/01/2023,2,1,1
10/01/2023,2,1,1
11/01/2023,2,1,1
12/01/2023,2,1,1
01/01/2024,2,1,1
02/01/2024,2,1,1
03/01/2024,2,1,1
04/01/2024,2,1,1
05/01/2024,2,1,1
06/01/2024,2,1,1
07/01/2024,2,1,1
08/01/2024,2,1,1
09/01/2024,2,1,1
10/01/2024,2,1,1
11/01/2024,2,1,1
12/01/2024,2,1,1